2025-09-18 21:13:19 | gui_main     | INFO     | ✅ IB connection validated - starting backtest
2025-09-18 21:13:19 | gui_main     | INFO     | Status: 📊 Running backtest...
2025-09-18 21:13:19 | gui_main     | INFO     | Backtest starting - checking IB connection:
2025-09-18 21:13:19 | gui_main     | INFO     |   self.is_connected: True
2025-09-18 21:13:19 | gui_main     | INFO     |   self.ib_connection: True
2025-09-18 21:13:19 | gui_main     | INFO     |   IB connection type: <class 'tuple'>
2025-09-18 21:13:19 | gui_main     | INFO     |   IB app: True
2025-09-18 21:13:19 | gui_main     | INFO     |   IB gateway: True
2025-09-18 21:13:19 | gui_main     | INFO     |   IB app connected: True
2025-09-18 21:13:19 | gui_main     | INFO     | ✅ Extracted IB app from tuple: True
2025-09-18 21:13:19 | gui_main     | INFO     | ✅ IB app is connected: True
2025-09-18 21:13:19 | gui_main     | INFO     | ✅ Passing IB app to trading engine
2025-09-18 21:14:48 | gui_main     | INFO     | Status: ✅ Backtest complete
2025-09-18 21:16:14 | gui_main     | INFO     | Status: 💤 Idle
2025-09-18 21:16:14 | gui_main     | INFO     | Disconnected from IB
2025-09-18 21:16:14 | gui_main     | INFO     | Status: 💤 Idle
2025-09-18 21:16:14 | gui_main     | INFO     | Disconnected via UI
2025-09-18 21:16:29 | gui_main     | INFO     | Application closing
