symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,ret_pct
AVGO,2021-02-19,2021-03-04,49.5,45.5,45,-180.45,-8.080808080808078
V,2021-02-23,2021-03-25,211.61,206.20999999999998,10,-54.10000000000034,-2.551864278625793
JPM,2020-11-03,2021-04-20,104.47,148.94,19,844.7399999999999,42.56724418493347
MSFT,2021-03-23,2021-05-04,240.08,246.85999999999999,9,60.92999999999975,2.824058647117611
GOOGL,2021-01-19,2021-05-11,89.99,111.78,23,500.9400000000001,24.21380153350372
SPY,2021-03-11,2021-05-11,394.19,410.57,5,81.84999999999998,4.155356553946055
NVDA,2021-04-01,2021-05-11,13.59,13.82,162,35.64000000000007,1.6924208977189048
JPM,2021-05-05,2021-06-14,157.27,158.61999999999998,14,18.759999999999522,0.8583963883766588
WMT,2021-05-18,2021-06-16,47.86000000000001,46.33,47,-72.3800000000004,-3.1968240702047845
AVGO,2021-05-28,2021-07-02,47.02,45.82,49,-59.29000000000014,-2.552105487026801
V,2021-04-21,2021-08-03,227.82000000000002,234.53,10,66.9999999999998,2.945307699060651
WMT,2021-08-03,2021-09-09,47.970000000000006,48.65,52,34.83999999999961,1.4175526370648228
META,2021-03-11,2021-09-20,276.62,353.29,8,613.2800000000001,27.716723302725764
MSFT,2021-06-14,2021-09-20,258.51,294.06,9,319.8600000000001,13.751885807125452
AAPL,2021-06-16,2021-09-20,130.62,143.84,18,237.77999999999997,10.120961567906894
SPY,2021-07-02,2021-09-20,431.69,434.86,5,15.800000000000079,0.7343232412147627
NVDA,2021-05-24,2021-09-28,15.69,20.64,145,716.3000000000001,31.54875717017209
AVGO,2021-09-15,2021-09-30,50.81,48.68,51,-109.14000000000014,-4.192088171619767
V,2021-10-19,2021-10-27,233.35000000000002,218.60999999999999,10,-147.50000000000037,-6.316691664881091
JPM,2021-09-27,2021-11-16,165.02,165.7,15,10.049999999999676,0.4120712640891977
GOOGL,2021-10-18,2021-11-26,142.35000000000002,143.20999999999998,17,14.449999999999266,0.6041447137337341
AMZN,2021-10-28,2021-12-03,173.16,168.23,15,-74.10000000000011,-2.84707784707785
TSLA,2021-09-24,2021-12-06,254.84,326.18,10,713.3000000000001,27.99403547323811
NVDA,2021-10-21,2021-12-06,22.56,28.76,113,699.4700000000004,27.482269503546107
AVGO,2021-10-19,2022-01-10,50.75,60.54,50,488.99999999999994,19.290640394088676
V,2021-12-16,2022-01-10,215.31,206.84,13,-110.23999999999998,-3.9338628024708555
META,2021-12-27,2022-01-10,344.47999999999996,322.51,8,-175.83999999999978,-6.37772875058058
JPM,2022-01-10,2022-01-18,169.09,151.82,16,-276.4800000000002,-10.21349577148265
AAPL,2021-11-17,2022-01-19,153.19,167.44,18,256.32,9.302173771133893
SPY,2021-12-27,2022-01-20,472.89,451.44,6,-128.75999999999993,-4.535938590369848
TSLA,2022-01-03,2022-01-21,382.60999999999996,319.0,7,-445.3399999999997,-16.62528423198556
